bin_edges,hist_data,kde_values
6.994855919074371e-06,38,15697.825948025447
7.0947824322040045e-06,29,15683.222253467029
7.194708945333638e-06,18,15668.368517877523
7.294635458463272e-06,25,15653.265511569169
7.394561971592906e-06,18,15637.914016827544
7.4944884847225396e-06,22,15622.314827777413
7.594414997852174e-06,16,15606.468750317721
7.694341510981808e-06,11,15590.376602079903
7.794268024111442e-06,13,15574.039212436082
7.894194537241075e-06,13,15557.45742222366
7.99412105037071e-06,11,15540.632083885883
8.094047563500343e-06,16,15523.564061318313
8.193974076629977e-06,12,15506.2542297291
8.29390058975961e-06,15,15488.703475650545
8.393827102889244e-06,10,15470.912696846242
8.493753616018878e-06,13,15452.882802222051
8.593680129148512e-06,19,15434.614711793429
8.693606642278146e-06,16,15416.109356495856
8.793533155407781e-06,15,15397.367678235381
8.893459668537415e-06,13,15378.390629714684
8.993386181667049e-06,11,15359.179174455041
9.093312694796682e-06,14,15339.734286585539
9.193239207926316e-06,10,15320.056950841888
9.29316572105595e-06,6,15300.14816252751
9.393092234185584e-06,12,15280.008927306852
9.493018747315217e-06,8,15259.640261231625
9.592945260444851e-06,11,15239.043190569255
9.692871773574485e-06,14,15218.218751823548
9.792798286704119e-06,5,15197.167991490844
9.892724799833752e-06,6,15175.891966190753
9.992651312963386e-06,7,15154.391742343127
1.009257782609302e-05,29,15132.668396275172
1.0192504339222654e-05,4,15110.723013997058
1.0292430852352287e-05,11,15088.556691195181
1.0392357365481921e-05,6,15066.170533099179
1.0492283878611557e-05,5,15043.565654371361
1.059221039174119e-05,4,15020.743179121724
1.0692136904870824e-05,19,14997.704240653655
1.0792063418000458e-05,10,14974.449981533966
1.0891989931130092e-05,7,14950.981553375768
1.0991916444259725e-05,15,14927.30011681766
1.1091842957389359e-05,10,14903.406841334754
1.1191769470518993e-05,7,14879.30290530878
1.1291695983648627e-05,15,14854.98949577608
1.139162249677826e-05,10,14830.467808388636
1.1491549009907894e-05,8,14805.73904734293
