,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
13,[18.18000030517578],[17.333158493041992],0.8468418121337891,0.8468418121337891,[0.07000000029802322],[0.33634650707244873],0.2663465067744255,0.2663465067744255,[1.540000081062317],[1.6632195711135864],0.12321949005126953,0.12321949005126953,[13.699999809265137],[14.599685668945312],0.8996858596801758,0.8996858596801758
14,[18.459999084472656],[16.93177604675293],1.5282230377197266,1.5282230377197266,[0.07999999821186066],[0.3359866142272949],0.25598661601543427,0.25598661601543427,[1.2400000095367432],[2.052121639251709],0.8121216297149658,0.8121216297149658,[13.699999809265137],[14.54970932006836],0.8497095108032227,0.8497095108032227
15,[18.31999969482422],[17.55854606628418],0.7614536285400391,0.7614536285400391,[0.05000000074505806],[0.3333474397659302],0.2833474390208721,0.2833474390208721,[1.399999976158142],[1.4366298913955688],0.03662991523742676,0.03662991523742676,[13.699999809265137],[14.586602210998535],0.8866024017333984,0.8866024017333984
16,[18.34000015258789],[16.721874237060547],1.6181259155273438,1.6181259155273438,[0.07999999821186066],[0.3815358877182007],0.30153588950634,0.30153588950634,[1.3799999952316284],[2.578001022338867],1.1980010271072388,1.1980010271072388,[13.699999809265137],[13.697444915771484],0.0025548934936523438,0.0025548934936523438
17,[18.459999084472656],[17.4635066986084],0.9964923858642578,0.9964923858642578,[0.07999999821186066],[0.33387133479118347],0.2538713365793228,0.2538713365793228,[1.1699999570846558],[1.5208098888397217],0.3508099317550659,0.3508099317550659,[13.699999809265137],[14.566137313842773],0.8661375045776367,0.8661375045776367
18,[18.079999923706055],[17.22366714477539],0.8563327789306641,0.8563327789306641,[0.03999999910593033],[0.34021785855293274],0.3002178594470024,0.3002178594470024,[1.470000147819519],[1.7951762676239014],0.3251761198043823,0.3251761198043823,[13.699999809265137],[14.474853515625],0.7748537063598633,0.7748537063598633
19,[18.459999084472656],[17.09638786315918],1.3636112213134766,1.3636112213134766,[0.03999999910593033],[0.327777236700058],0.28777723759412766,0.28777723759412766,[1.309999942779541],[1.8954581022262573],0.5854581594467163,0.5854581594467163,[13.800000190734863],[14.504244804382324],0.7042446136474609,0.7042446136474609
20,[17.34000015258789],[17.34708595275879],0.0070858001708984375,0.0070858001708984375,[0.07999999821186066],[0.3773370385169983],0.29733704030513763,0.29733704030513763,[2.3499999046325684],[1.9397773742675781],0.41022253036499023,0.41022253036499023,[13.699999809265137],[13.712431907653809],0.012432098388671875,0.012432098388671875
21,[18.440000534057617],[16.426612854003906],2.013387680053711,2.013387680053711,[0.07000000029802322],[0.34626463055610657],0.27626463025808334,0.27626463025808334,[1.2599999904632568],[2.5410654544830322],1.2810654640197754,1.2810654640197754,[13.800000190734863],[14.580390930175781],0.780390739440918,0.780390739440918
22,[18.90999984741211],[17.26166534423828],1.6483345031738281,1.6483345031738281,[0.059999994933605194],[0.3357330560684204],0.2757330611348152,0.2757330611348152,[0.7700000405311584],[1.734454870223999],0.9644548296928406,0.9644548296928406,[13.800000190734863],[14.597943305969238],0.797943115234375,0.797943115234375
23,[17.649999618530273],[17.616012573242188],0.03398704528808594,0.03398704528808594,[0.10000000149011612],[0.3794735074043274],0.2794735059142113,0.2794735059142113,[1.9600000381469727],[1.6850509643554688],0.2749490737915039,0.2749490737915039,[13.800000190734863],[13.757087707519531],0.04291248321533203,0.04291248321533203
24,[18.420000076293945],[16.614543914794922],1.8054561614990234,1.8054561614990234,[0.07999999821186066],[0.3535800278186798],0.27358002960681915,0.27358002960681915,[1.2699999809265137],[2.383995532989502],1.1139955520629883,1.1139955520629883,[13.699999809265137],[14.703995704650879],1.0039958953857422,1.0039958953857422
25,[18.34000015258789],[17.317977905273438],1.0220222473144531,1.0220222473144531,[0.059999994933605194],[0.3862852156162262],0.326285220682621,0.326285220682621,[1.3700000047683716],[1.9771792888641357],0.6071792840957642,0.6071792840957642,[13.699999809265137],[13.77248477935791],0.07248497009277344,0.07248497009277344
26,[18.260000228881836],[17.251813888549805],1.0081863403320312,1.0081863403320312,[0.07000000029802322],[0.3813835382461548],0.31138353794813156,0.31138353794813156,[1.470000147819519],[2.0395357608795166],0.5695356130599976,0.5695356130599976,[13.699999809265137],[13.727779388427734],0.027779579162597656,0.027779579162597656
